"y","fixe","obs","sim"
2002,2210.93234055807,1733.4,1065.24
2003,2433.01453517743,1793.2,1185.88
2004,2712.83134231491,1578.7,1396.76
2005,2494.56937814489,1662.4,1194.33
2006,2565.16139079016,1730.6,1242.75
2007,2989.58310458312,1853.2,1509.2
2008,2929.93614642793,2087.8,1394.67
2009,2561.72361399698,2140.5,1273.41
2010,2719.69057529288,1634,1359.43
2011,2802.56097954913,2066.1,1360.25
2012,2920.81614635291,1572.6,1468.41
2013,1657.35268448416,2140.5,739.91
2014,1658.63534139447,2424.2,740.68
2015,1515.56845736954,1906.8,702.4
2016,960.518767105231,2454.5,403.26
2017,1764.70495884208,2141.9,843.8
2018,2647.23664483236,1879.7,1323.99
