"y","fixe","obs","sim"
2002,2189.8411144943,1733.4,1065.24
2003,2422.8419830509,1793.2,1185.88
2004,2661.82699066404,1578.7,1396.76
2005,2472.57518926312,1662.4,1194.33
2006,2550.29262612702,1730.6,1242.75
2007,2937.45921724999,1853.2,1509.2
2008,2915.42271866441,2087.8,1394.67
2009,2540.63116316765,2140.5,1273.41
2010,2703.59639837739,1634,1359.43
2011,2783.75662261828,2066.1,1360.25
2012,2906.28084794336,1572.6,1468.41
2013,1646.99706056089,2140.5,739.91
2014,1643.63006979771,2424.2,740.68
2015,1499.82677855497,1906.8,702.4
2016,955.006613479247,2454.5,403.26
2017,1741.73755631284,2141.9,843.8
2018,2638.70252952854,1879.7,1323.99
