"y","fixe","obs","sim"
2002,2217.38368231241,1733.4,1065.24
2003,2433.75862939943,1793.2,1185.88
2004,2709.7502016065,1578.7,1396.76
2005,2501.99398740896,1662.4,1194.33
2006,2574.46182475431,1730.6,1242.75
2007,3029.99990465094,1853.2,1509.2
2008,2927.9701693285,2087.8,1394.67
2009,2584.52342037677,2140.5,1273.41
2010,2723.98499222901,1634,1359.43
2011,2810.54322366318,2066.1,1360.25
2012,2922.21766749575,1572.6,1468.41
2013,1656.85980294455,2140.5,739.91
2014,1658.3531721707,2424.2,740.68
2015,1518.04075712259,1906.8,702.4
2016,957.944783127577,2454.5,403.26
2017,1782.32708792889,2141.9,843.8
2018,2643.13809896598,1879.7,1323.99
